,,,,
AREA_ID,AREA_NAME,PARENT_NAME,PARENT_PARENT_Name,AREA_Parent_PP_NAME
98060,Benglen,BASILISA (RIZAL),DINAGAT ISLANDS,Benglen_BASILISA (RIZAL)_DINAGAT ISLANDS
98061,Diegas,BASILISA (RIZAL),DINAGAT ISLANDS,Diegas_BASILISA (RIZAL)_DINAGAT ISLANDS
98062,Edera,BASILISA (RIZAL),DINAGAT ISLANDS,Edera_BASILISA (RIZAL)_DINAGAT ISLANDS
98063,New Nazareth,BASILISA (RIZAL),DINAGAT ISLANDS,New Nazareth_BASILISA (RIZAL)_DINAGAT ISLANDS
98064,Roma,BASILISA (RIZAL),DINAGAT ISLANDS,Roma_BASILISA (RIZAL)_DINAGAT ISLANDS
98065,Santa Monica,BASILISA (RIZAL),DINAGAT ISLANDS,Santa Monica_BASILISA (RIZAL)_DINAGAT ISLANDS
98066,Santo Niño,BASILISA (RIZAL),DINAGAT ISLANDS,Santo Niño_BASILISA (RIZAL)_DINAGAT ISLANDS
98067,Sombrado,BASILISA (RIZAL),DINAGAT ISLANDS,Sombrado_BASILISA (RIZAL)_DINAGAT ISLANDS
98068,Villa Ecleo,BASILISA (RIZAL),DINAGAT ISLANDS,Villa Ecleo_BASILISA (RIZAL)_DINAGAT ISLANDS
98069,Villa Pantinople,BASILISA (RIZAL),DINAGAT ISLANDS,Villa Pantinople_BASILISA (RIZAL)_DINAGAT ISLANDS
98070,CAGDIANAO,DINAGAT ISLANDS,REGION XIII (Caraga),CAGDIANAO_DINAGAT ISLANDS_REGION XIII (Caraga)
98071,Boa,CAGDIANAO,DINAGAT ISLANDS,Boa_CAGDIANAO_DINAGAT ISLANDS
98072,Cabunga-an,CAGDIANAO,DINAGAT ISLANDS,Cabunga-an_CAGDIANAO_DINAGAT ISLANDS
98073,Del Pilar,CAGDIANAO,DINAGAT ISLANDS,Del Pilar_CAGDIANAO_DINAGAT ISLANDS
98074,Laguna,CAGDIANAO,DINAGAT ISLANDS,Laguna_CAGDIANAO_DINAGAT ISLANDS
98075,Legaspi,CAGDIANAO,DINAGAT ISLANDS,Legaspi_CAGDIANAO_DINAGAT ISLANDS
98076,Ma-atas,CAGDIANAO,DINAGAT ISLANDS,Ma-atas_CAGDIANAO_DINAGAT ISLANDS
98077,Nueva Estrella,CAGDIANAO,DINAGAT ISLANDS,Nueva Estrella_CAGDIANAO_DINAGAT ISLANDS
98078,Poblacion,CAGDIANAO,DINAGAT ISLANDS,Poblacion_CAGDIANAO_DINAGAT ISLANDS
98079,San Jose,CAGDIANAO,DINAGAT ISLANDS,San Jose_CAGDIANAO_DINAGAT ISLANDS
98080,Santa Rita,CAGDIANAO,DINAGAT ISLANDS,Santa Rita_CAGDIANAO_DINAGAT ISLANDS
98081,Tigbao,CAGDIANAO,DINAGAT ISLANDS,Tigbao_CAGDIANAO_DINAGAT ISLANDS
98082,Valencia,CAGDIANAO,DINAGAT ISLANDS,Valencia_CAGDIANAO_DINAGAT ISLANDS
98083,Mabini (Borja),CAGDIANAO,DINAGAT ISLANDS,Mabini (Borja)_CAGDIANAO_DINAGAT ISLANDS
98084,"R. Ecleo, Sr.",CAGDIANAO,DINAGAT ISLANDS,"R. Ecleo, Sr._CAGDIANAO_DINAGAT ISLANDS"
98085,DINAGAT,DINAGAT ISLANDS,REGION XIII (Caraga),DINAGAT_DINAGAT ISLANDS_REGION XIII (Caraga)
